tf,rapida,lenta,modo,toques,razao,stop_pct,stop_pts,alvo_pts,n_tr,n_ho,acerto_ho,acerto_neutro,"sh_tr|0,60 pts (pedido)","sh_ho|0,60 pts (pedido)","ret_ho|0,60 pts (pedido)","usd_ho|0,60 pts (pedido)","sh_tr|15,82 pts medidos (0,0145%)","sh_ho|15,82 pts medidos (0,0145%)","ret_ho|15,82 pts medidos (0,0145%)","usd_ho|15,82 pts medidos (0,0145%)",sh_tr|30 pts (folga slippage),sh_ho|30 pts (folga slippage),ret_ho|30 pts (folga slippage),usd_ho|30 pts (folga slippage)
5,10,30,0,2,0.3333333333333333,0.004,223.12614072685673,74.37538024228557,5525,2307,0.7243172951885566,0.75,-0.05592392883919672,-0.06285132801316025,-0.34562627537832524,-193.02314920000003,-0.11267291987631714,-0.11844286568239698,-0.651356217329137,-370.34629580293773,-0.16750960339030851,-0.17310246673309898,-0.9519473147834455,-541.694069433131
5,10,30,0,2,0.5,0.004,223.12614072685673,111.56307036342837,5346,2217,0.6531348669373027,0.6666666666666666,-0.03508562721016372,-0.03290940069029898,-0.20839466550501676,-146.3478156,-0.08225375373360495,-0.07931284145283263,-0.502273400008104,-316.888717772172,-0.1278298044385916,-0.12492677682296345,-0.7911379266904635,-481.6733165586071
5,10,30,0,2,0.75,0.004,223.12614072685673,167.34460554514257,5189,2118,0.5670443814919736,0.5714285714285714,-0.006963733362347479,-0.012511331695403093,-0.09192772941740565,-51.0101748,-0.04588281985977274,-0.05074754173635089,-0.37288230095496855,-214.97227988949894,-0.08347105816316573,-0.08830513158295061,-0.6488475997881824,-373.32765853482726
5,10,30,0,2,1.0,0.004,223.12614072685673,223.12614072685673,5020,2024,0.4980237154150198,0.5,-0.01535635421374793,-0.007115095958002654,-0.05761790623823722,6.7256624000000045,-0.049089263082559134,-0.04028408785738015,-0.32621802508633424,-150.37472080536736,-0.0816624735028686,-0.07285010206101317,-0.5899355722244011,-302.0741742726309
5,10,30,0,2,1.3333333333333333,0.004,223.12614072685673,297.5015209691423,4829,1932,0.43167701863354035,0.4285714285714286,-0.016337796042243922,0.0035367975656327476,0.03159676267833396,60.98180333333319,-0.04561292528804088,-0.025168007280588125,-0.2248444784915008,-89.10273219140389,-0.07387991895583156,-0.05334549345990588,-0.4765748643960189,-234.01886833178162
5,10,30,0,2,2.0,0.004,223.12614072685673,446.25228145371346,4519,1780,0.33876404494382023,0.3333333333333333,-0.029518394333585905,0.009260195428424382,0.09364335410719848,128.3494292,-0.053616102925765685,-0.014116371437755019,-0.14274905368264565,-10.101414142588794,-0.07688186959482816,-0.03705135119563908,-0.3746745645056486,-143.77242290351876
5,10,30,0,2,0.2,0.008,446.25228145371346,89.2504562907427,4983,2029,0.8353868900936422,0.8333333333333334,-0.02839289926269343,0.001960872643562787,0.014166898906694689,12.50278368000004,-0.06525540800882916,-0.035286604889260775,-0.25494484827083624,-144.40748302345796,-0.10086003809773848,-0.07187759832622824,-0.5193138715629002,-295.9634186653692
5,10,30,0,2,0.25,0.008,446.25228145371346,111.56307036342837,4821,1956,0.8072597137014315,0.8,-0.02491551166386396,0.015178183996981752,0.11713396825491187,72.28179540000002,-0.05808177159579405,-0.018443082963198593,-0.1423332297771095,-78.79540981768986,-0.09011914740473878,-0.051466695909999124,-0.3971907012208157,-224.73038137185225
5,10,30,0,2,0.3333333333333333,0.008,446.25228145371346,148.75076048457115,4615,1860,0.7569892473118279,0.75,-0.007359218789863252,0.01353974712025296,0.1152471794346219,105.68919413333323,-0.036490201283155686,-0.015474187014813142,-0.13171155796800837,-39.083202278604496,-0.06461409667445427,-0.043946674982607306,-0.3740606872549681,-178.85067264025295
5,10,30,0,2,0.5,0.008,446.25228145371346,223.12614072685673,4289,1671,0.6792339916217833,0.6666666666666666,-0.003483095690076511,0.024673998655502218,0.23101513374761334,222.36524080000004,-0.02732665732057247,0.0009715030587432488,0.009095691739493705,92.13188248453169,-0.050343751152524555,-0.022283339756920338,-0.20862763892637148,-33.58731479191226
