rapida,lenta,modo,razao,stop_pct,stop_pts,alvo_pts,n_tr,n_ho,acerto_ho,"sh_tr|0,0092% (Pepperstone min)","sh_ho|0,0092% (Pepperstone min)","ret_ho|0,0092% (Pepperstone min)","sh_tr|0,0145% (Pepperstone medio, medido)","sh_ho|0,0145% (Pepperstone medio, medido)","ret_ho|0,0145% (Pepperstone medio, medido)","sh_tr|0,030% (folga p/ slippage)","sh_ho|0,030% (folga p/ slippage)","ret_ho|0,030% (folga p/ slippage)","sh_tr|0,050%","sh_ho|0,050%","ret_ho|0,050%","sh_tr|0,063% (leitura '$69' AskTraders)","sh_ho|0,063% (leitura '$69' AskTraders)","ret_ho|0,063% (leitura '$69' AskTraders)","sh_tr|0,260% (CostModel.ts atual)","sh_ho|0,260% (CostModel.ts atual)","ret_ho|0,260% (CostModel.ts atual)"
10,50,0,1.3333333333333333,0.015,836.7237546576039,1115.6316728768052,3447,1020,0.4166666666666667,-0.0007821348372928741,-0.02945795899082361,-0.5187243550179353,-0.003867259935598591,-0.03255567399239152,-0.5732719296383715,-0.012788111723529179,-0.04151293035305342,-0.7310000000000016,-0.024326031134864,-0.053097934172510165,-0.9350000000000016,-0.03205745799881165,-0.06086091175585952,-1.0716980496237376,-0.14547418495387968,-0.17474047427680586,-3.077
10,50,0,2.0,0.015,836.7237546576039,1673.4475093152078,2526,740,0.32297297297297295,-0.01361173971280886,-0.026504644494774455,-0.4129961006992856,-0.016140599559321303,-0.029044348039902548,-0.4525698313062684,-0.023452972044824678,-0.03638807582708763,-0.5670000000000003,-0.03291054027362848,-0.045886197912464996,-0.7150000000000003,-0.039247947778828965,-0.052250780089716106,-0.8141730948250643,-0.13221500667606842,-0.14561647980892728,-2.2689999999999992
10,50,0,3.0,0.015,836.7237546576039,2510.1712639728116,1828,525,0.26285714285714284,-0.03578765596579504,0.025704862818311434,0.3567595231525328,-0.037885131046046995,0.023681963386499985,0.32868356562731027,-0.043950124757349725,0.01783261030095057,0.24749999999999955,-0.05179437666678494,0.010267260476304827,0.14249999999999913,-0.05705071949412348,0.005197806722626706,0.07214070975248826,-0.13415902171585442,-0.06916891268247506,-0.9600000000000001
10,50,0,0.75,0.025,1394.5395910960067,1045.904693322005,2460,698,0.5630372492836676,0.005032333300140835,-0.021136794501115653,-0.3203868625514877,0.0025593740813297156,-0.02359940156817328,-0.35771451655645364,-0.004591357887602563,-0.03072019957704354,-0.4656500000000007,-0.013839865894564398,-0.03992999204124464,-0.6052499999999997,-0.020037184553785996,-0.04610136786132154,-0.6987943516052628,-0.1109491999676642,-0.13663281291535675,-2.0710499999999983
10,50,0,1.0,0.025,1394.5395910960067,1394.5395910960067,1939,543,0.5046040515653776,0.0030283088293414267,0.0055277757227578115,0.07510556394633523,0.0008896918650860102,0.0033905351720596726,0.04606700216310193,-0.005294266438502151,-0.0027894431368922297,-0.037900000000000766,-0.013292383013691506,-0.010782412125453934,-0.14650000000000024,-0.018651828780807525,-0.01613840855407844,-0.21927160877028345,-0.09727260705317996,-0.09470858650535215,-1.286799999999999
10,50,0,1.3333333333333333,0.025,1394.5395910960067,1859.386121461342,1509,420,0.42857142857142855,-0.018908772751413627,-0.003179254377728127,-0.038592381477973364,-0.02076512843069167,-0.005029580425565814,-0.061053147498152854,-0.026132908780868536,-0.010379925680989182,-0.12600000000000092,-0.03307540917997601,-0.017299876134981875,-0.21000000000000044,-0.03772749870973099,-0.02193685520632356,-0.26628743219801,-0.1059716633706048,-0.08995935590190557,-1.0919999999999999
10,50,0,2.0,0.025,1394.5395910960067,2789.0791821920134,1077,294,0.35034013605442177,-0.07141050930369679,0.03302360835495302,0.3479853329654188,-0.07296317299215986,0.03153154869296304,0.3322627967512931,-0.0774528070264127,0.027217155376895487,0.28679999999999967,-0.0832595435247905,0.021637069128075937,0.22800000000000004,-0.08715057075031608,0.017897917623439286,0.1885987974613932,-0.14423027675775754,-0.036953836484529684,-0.38939999999999986
10,50,0,3.0,0.025,1394.5395910960067,4183.61877328802,776,201,0.208955223880597,-0.041759565300604984,-0.10295868713430273,-0.8434692111358868,-0.043023309615549336,-0.10427078156621054,-0.854218292016973,-0.0466775133746284,-0.10806479301982912,-0.8852999999999994,-0.05140373341360439,-0.11297183546803552,-0.9254999999999994,-0.05457071900880363,-0.11625998807632336,-0.9524375568376188,-0.10102904382285194,-0.16449578117420288,-1.3476
10,50,0,0.75,0.04,2231.2633457536103,1673.4475093152078,1089,293,0.5733788395904437,-0.010588338748421019,0.0012869608761790481,0.013077219587985661,-0.012129687552338973,-0.0002550691198784962,-0.0025918386118066183,-0.016586603818330097,-0.004713955099875516,-0.04790000000000047,-0.022351024293249977,-0.01048092313437871,-0.10650000000000054,-0.0262136960389984,-0.014345301970452334,-0.14576718484289747,-0.08287743927990857,-0.07103408749666207,-0.7217999999999997
10,50,0,1.0,0.04,2231.2633457536103,2231.2633457536103,855,236,0.5211864406779662,-0.0409002110304869,0.04002666878671122,0.37831475707428186,-0.0422373756687918,0.03869135466641538,0.3656939456915146,-0.04610387935155375,0.034830201883978,0.32919999999999994,-0.051104680727459655,0.029836321176433162,0.282,-0.05445566011295985,0.026489979251065558,0.25037182381254697,-0.10361309517447179,-0.022599426252787626,-0.21359999999999957
