rapida,lenta,modo,stop_pct,razao,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,50,1,0.004,2.0,0.008,279.1288816223143,558.2577632446286,942,-0.3594906897555465,-1.9691999999999998,0.37579617834394907,277,-0.38444842287542796,-0.6161999999999999,0.36462093862815886
10,50,1,0.004,3.0,0.012,279.1288816223143,837.3866448669429,745,-0.28335224470081277,-1.5250000000000004,0.28456375838926173,220,-0.28981721435158275,-0.45999999999999996,0.2818181818181818
10,50,1,0.008,0.75,0.006,558.2577632446286,418.69332243347145,773,-0.3175993010697788,-1.6837999999999997,0.6015523932729625,237,-0.23275812432161158,-0.3702,0.6455696202531646
10,50,1,0.008,1.0,0.008,558.2577632446286,558.2577632446286,656,-0.2673184038918168,-1.4015999999999997,0.5289634146341463,187,-0.23443490767338568,-0.35019999999999996,0.5454545454545454
10,50,1,0.008,1.3333333333333333,0.010666666666666666,558.2577632446286,744.3436843261713,531,-0.25202428943682625,-1.2419333333333333,0.4425612052730697,147,-0.22426463253516504,-0.3075333333333333,0.4557823129251701
10,50,1,0.008,2.0,0.016,558.2577632446286,1116.5155264892571,409,-0.2313971737072977,-1.0713999999999997,0.33251833740831294,107,-0.20062634840085347,-0.24619999999999997,0.34579439252336447
10,50,1,0.008,3.0,0.024,558.2577632446286,1674.7732897338858,300,-0.1621650654300917,-0.6839999999999998,0.26,75,-0.11337931636020243,-0.12299999999999994,0.28
10,50,1,0.015,0.75,0.01125,1046.7333060836786,785.0499795627588,346,-0.1755557958748314,-0.7870999999999997,0.5838150289017341,86,-0.24755688438027507,-0.27985,0.5465116279069767
10,50,1,0.015,1.0,0.015,1046.7333060836786,1046.7333060836786,281,-0.16947332831727277,-0.7155999999999996,0.501779359430605,65,-0.06551515586913827,-0.06399999999999996,0.5538461538461539
10,50,1,0.015,1.3333333333333333,0.019999999999999997,1046.7333060836786,1395.6444081115712,221,-0.1564382669495798,-0.5995999999999999,0.4253393665158371,53,-0.1764240980766321,-0.16279999999999997,0.41509433962264153
10,50,1,0.015,2.0,0.03,1046.7333060836786,2093.466612167357,158,-0.0900007840659671,-0.3057999999999998,0.34810126582278483,38,-0.22114040335672533,-0.17379999999999995,0.2894736842105263
10,50,1,0.015,3.0,0.045,1046.7333060836786,3140.1999182510353,111,-0.0311841284826763,-0.09360000000000002,0.27927927927927926,30,-0.2294114853917075,-0.16799999999999998,0.2
10,50,1,0.025,0.75,0.018750000000000003,1744.5555101394643,1308.4166326045984,158,-0.06024356054384992,-0.20454999999999965,0.6012658227848101,34,-0.14292532861909726,-0.10714999999999991,0.5588235294117647
10,50,1,0.025,1.0,0.025,1744.5555101394643,1744.5555101394643,118,-0.17146161483578623,-0.5067999999999998,0.4661016949152542,25,-0.1412036172994924,-0.08999999999999996,0.48
10,50,1,0.025,1.3333333333333333,0.03333333333333333,1744.5555101394643,2326.0740135192855,94,-0.05268677668107086,-0.14439999999999997,0.44680851063829785,20,-0.36826185385254817,-0.202,0.3
10,50,1,0.025,2.0,0.05,1744.5555101394643,3489.1110202789287,64,-0.050656597883108015,-0.11639999999999989,0.34375,10,-0.1407733741058402,-0.05099999999999998,0.3
10,50,1,0.025,3.0,0.07500000000000001,1744.5555101394643,5233.666530418393,45,0.0749949989798774,0.15800000000000008,0.3111111111111111,7,-0.35226288884459966,-0.09319999999999999,0.14285714285714285
10,50,1,0.04,0.75,0.03,2791.288816223143,2093.466612167357,68,-0.041015806064373155,-0.09679999999999991,0.5882352941176471,11,-0.12085962970638447,-0.048599999999999983,0.5454545454545454
10,50,1,0.04,1.0,0.04,2791.288816223143,2791.288816223143,57,-0.012276461256186881,-0.028199999999999878,0.5263157894736842,8,0.46985370063456994,0.13920000000000002,0.75
10,50,1,0.04,1.3333333333333333,0.05333333333333333,2791.288816223143,3721.718421630857,40,-0.22032807501859455,-0.39733333333333337,0.35,4,0.07546792804407251,0.016266666666666665,0.5
10,50,1,0.04,2.0,0.08,2791.288816223143,5582.577632446286,30,-0.045189416164997456,-0.07800000000000001,0.3333333333333333,5,0.0821583836257749,0.026999999999999996,0.4
10,50,1,0.04,3.0,0.12,2791.288816223143,8373.866448669429,17,-0.07079881156811191,-0.08420000000000002,0.23529411764705882,0,0.0,0.0,
10,100,0,0.002,0.75,0.0015,139.56444081115714,104.67333060836786,2149,-1.5126923649931778,-5.643399999999999,0.0,759,-1.4540598282047916,-1.8919,0.0
10,100,0,0.002,1.0,0.002,139.56444081115714,139.56444081115714,2049,-1.3402522052900467,-5.4894,0.0,713,-1.235903718366985,-1.7597999999999998,0.0
10,100,0,0.002,1.3333333333333333,0.0026666666666666666,139.56444081115714,186.08592108154284,1949,-1.1416959919692082,-5.1294,0.42175474602360186,667,-1.0501789051112775,-1.630866666666667,0.4617691154422789
10,100,0,0.002,2.0,0.004,139.56444081115714,279.1288816223143,1802,-0.915352616580112,-4.671200000000001,0.3346281908990011,587,-0.8131270985587539,-1.3862,0.3730834752981261
10,100,0,0.002,3.0,0.006,139.56444081115714,418.69332243347145,1613,-0.7345840505006687,-4.1318,0.25480471171729696,497,-0.7188208883085193,-1.2542,0.2595573440643863
10,100,0,0.004,0.75,0.003,279.1288816223143,209.34666121673573,1367,-0.7583958232077511,-3.5972,0.5669348939283102,458,-0.6755681798670333,-1.0558,0.6135371179039302
10,100,0,0.004,1.0,0.004,279.1288816223143,279.1288816223143,1243,-0.6250032572517071,-3.1078,0.5124698310539019,404,-0.5671528898199175,-0.9144000000000001,0.5420792079207921
10,100,0,0.004,1.3333333333333333,0.005333333333333333,279.1288816223143,372.17184216308567,1119,-0.5347943990440964,-2.7747333333333333,0.44146559428060766,339,-0.494774475699468,-0.7814000000000001,0.46017699115044247
10,100,0,0.004,2.0,0.008,279.1288816223143,558.2577632446286,955,-0.4347292092083402,-2.367,0.34345549738219894,275,-0.4469178449545127,-0.699,0.3381818181818182
10,100,0,0.004,3.0,0.012,279.1288816223143,837.3866448669429,778,-0.3768431231814566,-2.0308,0.2493573264781491,206,-0.31537489718948286,-0.46359999999999996,0.27184466019417475
10,100,0,0.008,0.75,0.006,558.2577632446286,418.69332243347145,730,-0.3806291128573426,-1.9279999999999997,0.5684931506849316,208,-0.42832463066976223,-0.6228,0.5432692307692307
