rapida,lenta,modo,razao,stop_pct,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,100,0,1.0,0.008,0.008,446.2526691507221,446.2526691507221,8033,-0.32784412525122414,-21.069799999999994,0.49856840532802194,2691,-0.33424253253598446,-7.196599999999999,0.4953548866592345
10,100,0,1.3333333333333333,0.008,0.010666666666666666,446.2526691507221,595.0035588676294,6883,-0.27803693840884036,-17.687800000000003,0.43019032398663376,2238,-0.28059035440636054,-5.8028,0.4289544235924933
10,100,0,2.0,0.008,0.016,446.2526691507221,892.5053383014442,5506,-0.2366127853596769,-14.707599999999996,0.3303668725027243,1728,-0.22049160847903407,-4.324799999999999,0.33738425925925924
10,100,0,3.0,0.008,0.024,446.2526691507221,1338.7580074521663,4348,-0.19234007429419914,-11.560799999999997,0.2481600735970561,1324,-0.18563779144825748,-3.410399999999999,0.25075528700906347
10,100,0,0.75,0.015,0.01125,836.7237546576039,627.5428159932029,4439,-0.1986099549752984,-11.451399999999998,0.5722009461590448,1398,-0.21530355062079284,-3.9197999999999986,0.5636623748211731
10,100,0,1.0,0.015,0.015,836.7237546576039,836.7237546576039,3673,-0.17521559394054637,-9.654799999999996,0.4990471004628369,1134,-0.1609289209762275,-2.7383999999999986,0.5061728395061729
10,100,0,1.3333333333333333,0.015,0.019999999999999997,836.7237546576039,1115.6316728768052,3031,-0.1405711043072427,-7.390599999999999,0.4331903662157704,943,-0.16792036350974102,-2.7367999999999997,0.41993637327677624
10,100,0,2.0,0.015,0.03,836.7237546576039,1673.4475093152078,2273,-0.09429505596548479,-4.589799999999997,0.3462384513858337,706,-0.15529483527743285,-2.3005999999999993,0.31869688385269124
10,100,0,3.0,0.015,0.045,836.7237546576039,2510.1712639728116,1671,-0.10407296173446444,-4.509599999999999,0.2483542788749252,519,-0.12747837035093887,-1.6943999999999995,0.23892100192678228
10,100,0,0.75,0.025,0.018750000000000003,1394.5395910960067,1045.904693322005,2177,-0.09904553065249258,-4.653949999999994,0.5819935691318328,649,-0.1835583414089583,-2.5998999999999985,0.539291217257319
10,100,0,1.0,0.025,0.025,1394.5395910960067,1394.5395910960067,1756,-0.07780864499254951,-3.4155999999999973,0.5130979498861048,542,-0.13715935505532284,-1.859199999999999,0.4833948339483395
10,100,0,1.3333333333333333,0.025,0.03333333333333333,1394.5395910960067,1859.386121461342,1401,-0.08336577593963405,-3.3759333333333332,0.4318344039971449,416,-0.0962849021505193,-1.1566,0.4254807692307692
10,100,0,2.0,0.025,0.05,1394.5395910960067,2789.0791821920134,988,-0.06545331126832889,-2.2938,0.33704453441295545,290,-0.16425679704129162,-1.6289999999999998,0.29310344827586204
